"Review #","Brand","Variety","Style","Country","Stars","Top_Ten_Y/N","Top_Ten_Year","Top_Ten_Rank","Top Ten","Continent","Meat_Type","Spicy","Noodle_Type"
1500,"MyKuali","Penang Red Tom Yum Goong Noodle","Pack","Malaysia",5,"Y",2015,1,"2015 #1","Asia",NA,"No","Noodle"
1638,"A-Sha Dry Noodle","Veggie Noodle Tomato Noodle With Vine Ripened Tomato Sauce","Pack","Taiwan",5,"Y",2015,10,"2015 #10","Asia",NA,"No","Noodle"
1585,"CarJEN","Nyonya Curry Laksa","Pack","Malaysia",5,"Y",2015,4,"2015 #4","Asia",NA,"No",NA
1508,"Mamee","Chef Gold Recipe Mi Kari Seribu Rasa","Pack","Malaysia",5,"Y",2015,6,"2015 #6","Asia",NA,"No","Mi"
1617,"MyKuali","Penang Hokkien Prawn Noodle (New Improved Taste)","Pack","Malaysia",5,"Y",2015,7,"2015 #7","Asia","Seafood","No","Noodle"
1466,"Mama","Oriental Style Instant Noodles Green Curry Flavour Jumbo Pack","Pack","Thailand",5,"Y",2015,8,"2015 #8","Asia",NA,"No","Noodle"
1521,"Maruchan","Gotsumori Sauce Yakisoba","Tray","Japan",5,"Y",2015,9,"2015 #9","Asia",NA,"No",NA
1947,"Prima Taste","Singapore Laksa Wholegrain La Mian","Pack","Singapore",5,"Y",2016,1,"2016 #1","Asia",NA,"No","Mi"
1964,"MAMA","Instant Noodles Coconut Milk Flavour","Pack","Myanmar",5,"Y",2016,10,"2016 #10","Asia",NA,"No","Mi"
1907,"Prima Taste","Singapore Curry Wholegrain La Mian","Pack","Singapore",5,"Y",2016,5,"2016 #5","Asia",NA,"No","Mi"
1689,"Wugudaochang","Tomato Beef Brisket Flavor Purple Potato Noodle","Pack","China",5,"Y",2016,7,"2016 #7","Asia","Beef","No","Noodle"
1925,"Prima","Juzz's Mee Creamy Chicken Flavour","Pack","Singapore",5,"Y",2016,8,"2016 #8","Asia","Chicken","No","Mi"
1828,"Tseng Noodles","Scallion With Sichuan Pepper  Flavor","Pack","Taiwan",5,"Y",2016,9,"2016 #9","Asia",NA,"No",NA
910,"Paldo","Namja Ramyun","Bowl","South Korea",4.25,"N",NA,NA,NA,"Asia",NA,"No","Ramyeon"
734,"Indomie","Mi Goreng Rasa Ayam Panggang Jumbo (Local)","Pack","Indonesia",5,"N",NA,NA,NA,"Asia","Chicken","No","Mi"
332,"Nongshim","Champong Oriental Noodles","Cup","South Korea",3.75,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
45,"Indomie","Mi Goreng Sate","Pack","Indonesia",5,"N",NA,NA,NA,"Asia",NA,"No","Mi"
2580,"New Touch","T's Restaurant Tantanmen","Cup","Japan",3.75,"N",NA,NA,NA,"Asia",NA,"No",NA
2579,"Just Way","Noodles Spicy Hot Sesame Spicy Hot Sesame Guan-miao Noodles","Pack","Taiwan",1,"N",NA,NA,NA,"Asia",NA,"Yes","Noodle"
2578,"Nissin","Cup Noodles Chicken Vegetable","Cup","United States",2.25,"N",NA,NA,NA,"North America","Chicken","No","Noodle"
2577,"Wei Lih","GGE Ramen Snack Tomato Flavor","Pack","Taiwan",2.75,"N",NA,NA,NA,"Asia",NA,"No","Ramyeon"
2576,"Ching's Secret","Singapore Curry","Pack","India",3.75,"N",NA,NA,NA,"Asia",NA,"No",NA
2575,"Samyang Foods","Kimchi song Song Ramen","Pack","South Korea",4.75,"N",NA,NA,NA,"Asia",NA,"No","Ramyeon"
2574,"Acecook","Spice Deli Tantan Men With Cilantro","Cup","Japan",4,"N",NA,NA,NA,"Asia",NA,"No",NA
2573,"Ikeda Shoku","Nabeyaki Kitsune Udon","Tray","Japan",3.75,"N",NA,NA,NA,"Asia",NA,"No","Udon"
2572,"Ripe'n'Dry","Hokkaido Soy Sauce Ramen","Pack","Japan",0.25,"N",NA,NA,NA,"Asia",NA,"No","Ramyeon"
2571,"KOKA","The Original Spicy Stir-Fried Noodles","Pack","Singapore",2.5,"N",NA,NA,NA,"Asia",NA,"Yes","Noodle"
2570,"Tao Kae Noi","Creamy tom Yum Kung Flavour","Pack","Thailand",5,"N",NA,NA,NA,"Asia",NA,"No",NA
2569,"Yamachan","Yokohama Tonkotsu Shoyu","Pack","United States",5,"N",NA,NA,NA,"North America",NA,"No",NA
2568,"Nongshim","Mr. Bibim Stir-Fried Kimchi Flavor","Pack","South Korea",4.25,"N",NA,NA,NA,"Asia",NA,"No",NA
2567,"Nissin","Deka Buto Kimchi Pork Flavor","Bowl","Japan",4.5,"N",NA,NA,NA,"Asia","Pork","No",NA
2566,"Nissin","Demae Ramen Bar Noodle Aka Tonkotsu Flavour Instant Noodle","Pack","Hong Kong",5,"N",NA,NA,NA,"Asia",NA,"No","Ramyeon"
2565,"KOKA","Mushroom Flavour Instant Noodles","Cup","Singapore",3.5,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2564,"TRDP","Mario Masala Noodles","Pack","India",3.75,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2563,"Yamachan","Tokyo Shoyu Ramen","Pack","United States",5,"N",NA,NA,NA,"North America",NA,"No","Ramyeon"
2562,"Binh Tay","Mi Hai Cua","Pack","Vietnam",4,"N",NA,NA,NA,"Asia",NA,"No","Mi"
2561,"Paldo","Premium Gomtang","Pack","South Korea",4,"N",NA,NA,NA,"Asia",NA,"No",NA
2560,"Nissin","Cup Noodles Laksa Flavour","Cup","Hong Kong",4.25,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2559,"Jackpot Teriyaki","Beef Ramen","Pack","United States",5,"N",NA,NA,NA,"North America","Beef","No","Ramyeon"
2558,"KOKA","Creamy Soup With Crushed Noodles Hot & Sour Fish Flavor","Cup","Singapore",5,"N",NA,NA,NA,"Asia","Seafood","Yes","Noodle"
2557,"Yamachan","Sapporo Miso Ramen","Pack","United States",4.75,"N",NA,NA,NA,"North America",NA,"No","Ramyeon"
2556,"Ching's Secret","Hot Garlic Instant Noodles","Pack","India",4.25,"N",NA,NA,NA,"Asia",NA,"Yes","Noodle"
2555,"Samyang Foods","Song Song Kimchi Big Bowl","Bowl","South Korea",4.25,"N",NA,NA,NA,"Asia",NA,"No",NA
2554,"Yum-Mie","Instant Noodles Beef In Light Soup Flavour","Pack","Ghana",3.5,"N",NA,NA,NA,"Africa","Beef","No","Noodle"
2553,"Nissin","Hakata Ramen Noodle White Tonkotsu","Bowl","Japan",4.75,"N",NA,NA,NA,"Asia",NA,"No","Ramyeon"
2552,"MyKuali","Penang White Curry Rice Vermicelli Soup","Bowl","Malaysia",5,"N",NA,NA,NA,"Asia",NA,"No","Rice Noodle"
2551,"KOKA","Signature Tom Yum Flavor Instant Noodles","Pack","Singapore",4,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2550,"Samyang Foods","Paegaejang Ramen","Pack","South Korea",5,"N",NA,NA,NA,"Asia",NA,"No","Ramyeon"
2549,"Nissin","Gekikara Ramen Extra Hot Ramen Goreng","Pack","Indonesia",4.5,"N",NA,NA,NA,"Asia",NA,"Yes","Ramyeon"
2547,"Sichuan Guangyou","Chongqing Spicy Hot Noodles","Bowl","China",4,"N",NA,NA,NA,"Asia",NA,"Yes","Noodle"
2546,"New Touch","Sugo-Men Kyoto Backfat Shoyu Ramen","Bowl","Japan",3.75,"N",NA,NA,NA,"Asia",NA,"No","Ramyeon"
2545,"KOKA","Instant Noodles Laksa Singapura Flavour","Pack","Singapore",5,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2544,"Lipton","Cup-A-Soup Chicken Noodle With White Meat Instant Soup","Box","United States",1.5,"N",NA,NA,NA,"North America","Chicken","No","Noodle"
2543,"KOKA","Curry Flavour Instant Noodles","Cup","Singapore",5,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2542,"Acecook","Super Cup Yochan Ika Yakisoba","Tray","Japan",1.5,"N",NA,NA,NA,"Asia",NA,"No",NA
2541,"Nissin","Cup Noodles Very Veggie Spicy Chicken Flavor Ramen Noodle Soup","Cup","United States",5,"N",NA,NA,NA,"North America","Chicken","Yes","Ramyeon"
2540,"Wei Lih","GGE Noodle Snack Wheat Crackers Mexican Spicy","Pack","Taiwan",3.25,"N",NA,NA,NA,"Asia",NA,"Yes","Noodle"
2539,"Nissin","Demae Iccho Tonkotsu Flavour Instant Noodle","Cup","Hong Kong",3.75,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2538,"Nissin","Cup Noodles Very Veggie Beef Flavor Ramen Noodle Soup","Cup","United States",5,"N",NA,NA,NA,"North America","Beef","No","Ramyeon"
2537,"Nissin","Cup NoodlesTom Yam Seafood (More Shrimptacular)","Cup","Singapore",5,"N",NA,NA,NA,"Asia","Seafood","No","Noodle"
2536,"Lele","Instant Noodles Beef","Pack","Ghana",3.5,"N",NA,NA,NA,"Africa","Beef","No","Noodle"
2535,"Nissin","Cup Noodles Very Veggie Chicken Flavor Ramen Noodle Soup","Cup","United States",5,"N",NA,NA,NA,"North America","Chicken","No","Ramyeon"
2534,"Fujiwara","Hokkaido Hakodate Shoyu Ramen","Pack","Japan",4,"N",NA,NA,NA,"Asia",NA,"No","Ramyeon"
2533,"Nongshim","Shin Ramyun Black","Pack","South Korea",5,"N",NA,NA,NA,"Asia",NA,"No","Ramyeon"
2532,"Nissin","Nippon Onomichi Ramen","Bowl","Japan",4.75,"N",NA,NA,NA,"Asia",NA,"No","Ramyeon"
2531,"Uni-President","Pickled Cabbage Beef","Pack","China",4.25,"N",NA,NA,NA,"Asia","Beef","No",NA
2530,"Ottogi","Ppushu Ppushu Noodle Snack Honey Butter","Pack","South Korea",2,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2529,"Maruchan","Gotsumori Chanpon Ramen","Bowl","Japan",4.5,"N",NA,NA,NA,"Asia",NA,"No","Ramyeon"
2528,"Prima","Juzz's Mee Creamy Chicken Flavour (Export Version)","Pack","Singapore",5,"N",NA,NA,NA,"Asia","Chicken","No","Mi"
2527,"Uni-President","Mushroom Flavor","Pack","Vietnam",0,"N",NA,NA,NA,"Asia",NA,"No",NA
2526,"Samyang Foods","Jjamppong Big Bowl","Bowl","South Korea",4.5,"N",NA,NA,NA,"Asia",NA,"No",NA
2525,"Sokensha","Curry Udon","Pack","Japan",3.5,"N",NA,NA,NA,"Asia",NA,"No","Udon"
2524,"Nissin","Straits Reborn Laksa","Pack","Singapore",5,"N",NA,NA,NA,"Asia",NA,"No",NA
2523,"Nongshim","Budae Jjigae Noodle Soup","Pack","South Korea",4.5,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2522,"Takamori","Hearty Japanese Style Curry Udon","Pack","Japan",5,"N",NA,NA,NA,"Asia",NA,"No","Udon"
2521,"Nissin","Cup Noodles Potato Chips Black Pepper Crab Flavour","Pack","Singapore",4.5,"N",NA,NA,NA,"Asia","Seafood","No","Noodle"
2520,"Nissin","Cup Noodles Blacl Pepper Crab Flavour (More Angry Crab)","Cup","Singapore",5,"N",NA,NA,NA,"Asia","Seafood","No","Noodle"
2519,"Guava Story","Anchovy Flavor Guava Rice Noodles","Tray","South Korea",1,"N",NA,NA,NA,"Asia",NA,"No","Rice Noodle"
2518,"Samurai Ramen","Umami Ramen","Pack","Japan",4,"N",NA,NA,NA,"Asia",NA,"No","Ramyeon"
2517,"Ikeda Shoku","Nabeyaki Tempura Udoin","Bowl","Japan",4.5,"N",NA,NA,NA,"Asia",NA,"No",NA
2516,"Fujiwara","Hokkaido Hakodate Miso Ramen","Pack","Japan",3.5,"N",NA,NA,NA,"Asia",NA,"No","Ramyeon"
2515,"Uni-President","Man Han Feast Spicy Beef Flavor Instant Noodles","Bowl","Taiwan",5,"N",NA,NA,NA,"Asia","Beef","Yes","Noodle"
2514,"Ogasawara","Kirin Giraffe Shoyu Ramen","Pack","Japan",4.5,"N",NA,NA,NA,"Asia",NA,"No","Ramyeon"
2513,"Pringles","Nissin Top Ramen Chicken Flavor Potato Crisps","Can","United States",3.5,"N",NA,NA,NA,"North America","Chicken","No","Ramyeon"
2512,"Mom's Dry Noodle","Dan Dan Noodle","Pack","Taiwan",5,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2511,"Samyang Foods","Samyang Ramen Classic Edition","Bowl","South Korea",5,"N",NA,NA,NA,"Asia",NA,"No","Ramyeon"
2510,"MyKuali","Penang Red Tom Yum Goong Noodle","Pack","Malaysia",5,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2509,"Maggi","Hot Heads Green Chilli Noodles","Pack","India",3.5,"N",NA,NA,NA,"Asia",NA,"Yes","Noodle"
2508,"Samyang Foods","Mala Buldak Bokkeummyun","Pack","South Korea",3.75,"N",NA,NA,NA,"Asia",NA,"No",NA
2507,"Indomie","RMy Noodlez Rumput Laut","Pack","Indonesia",4,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2506,"KOKA","Delight Chicken Flavor Instant Non-Fried Noodles","Pack","Singapore",3.75,"N",NA,NA,NA,"Asia","Chicken","No","Noodle"
2505,"Acecook","Super Cup Torigawa Shoyu","Bowl","Japan",3.5,"N",NA,NA,NA,"Asia",NA,"No",NA
2504,"Nongshim","Shin Ramyun","Pack","South Korea",3,"N",NA,NA,NA,"Asia",NA,"No","Ramyeon"
2503,"Sichuan Guangyou","Sweet Potato Instant Noodle Sout-Hot Flavor","Bowl","China",0,"N",NA,NA,NA,"Asia",NA,"Yes","Noodle"
2502,"Indomie","Onion Chicken Flavor","Pack","Nigeria",1.5,"N",NA,NA,NA,"Africa","Chicken","No",NA
2501,"Happy Cook","Toona Paste Noodle","Pack","Taiwan",4,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2500,"The Ramen Rater Select","Supreme Creamy Tom Yum Noodle","Box","Malaysia",5,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2499,"KOKA","Creamy Soup With Crushed Noodles Chicken Flavor","Cup","Singapore",5,"N",NA,NA,NA,"Asia","Chicken","No","Noodle"
2498,"Nissin","Demae Ramen Spicy Beef","Pack","Germany",3.75,"N",NA,NA,NA,"Europe","Beef","Yes","Ramyeon"
2497,"Nissin","Cup Noodles Spicy","Cup","Germany",3.75,"N",NA,NA,NA,"Europe",NA,"Yes","Noodle"
2496,"Nissin","Soba Thai","Pack","Germany",4.5,"N",NA,NA,NA,"Europe",NA,"No","Soba"
2495,"Nissin","Cup Noodles Huhn (Chicken)","Cup","Germany",3.75,"N",NA,NA,NA,"Europe","Chicken","No","Noodle"
2494,"Nissin","Demae Ramen Korean Kimchi","Pack","Germany",3.5,"N",NA,NA,NA,"Europe",NA,"No","Ramyeon"
2493,"Nissin","Cup Noodles Curry","Cup","Germany",3.75,"N",NA,NA,NA,"Europe",NA,"No","Noodle"
2492,"Nissin","Smack Chili","Pack","Hungary",3.75,"N",NA,NA,NA,"Europe",NA,"Yes",NA
2491,"Nissin","Soba Yakitori Chicken","Cup","Germany",5,"N",NA,NA,NA,"Europe","Chicken","No","Soba"
2490,"Nissin","Demae Ramen Garlic Chicken","Pack","Germany",3.5,"N",NA,NA,NA,"Europe","Chicken","No","Ramyeon"
2489,"Nissin","Cup Noodles Ente (Duck)","Cup","Germany",3,"N",NA,NA,NA,"Europe","Duck","No","Noodle"
2488,"Nissin","Demae Ramen Thai Tom Yum","Pack","Germany",3.75,"N",NA,NA,NA,"Europe",NA,"No","Ramyeon"
2487,"Nissin","Soba Sukiyaki Beef","Cup","Germany",4.5,"N",NA,NA,NA,"Europe","Beef","No","Soba"
2486,"Nissin","Demae Ramen Spicy","Pack","Germany",3.5,"N",NA,NA,NA,"Europe",NA,"Yes","Ramyeon"
2485,"Nissin","Cup Noodles Shrimps","Cup","Germany",3,"N",NA,NA,NA,"Europe","Seafood","No","Noodle"
2484,"Nissin","Demae Ramen Tokyo Soy Sauce","Pack","Germany",4,"N",NA,NA,NA,"Europe",NA,"No","Ramyeon"
2483,"Paldo","Bul Jjamppong","Bowl","South Korea",5,"N",NA,NA,NA,"Asia",NA,"No",NA
2482,"TTL","Chicken With Chinese Shaoxing Wine","Pack","Taiwan",4.75,"N",NA,NA,NA,"Asia","Chicken","No",NA
2481,"Samyang Foods","Buldak Bokkeummyun","Cup","South Korea",3.75,"N",NA,NA,NA,"Asia",NA,"No",NA
2480,"Acecook","Pork Wantan Men","Bowl","Japan",4.25,"N",NA,NA,NA,"Asia","Pork","No","Wonton"
2479,"E-Zee","Instant Noodles Chicken Flavour","Pack","Malaysia",4,"N",NA,NA,NA,"Asia","Chicken","No","Noodle"
2478,"Kiki Noodle","Scallion Oil & Soy Sauce Noodle","Pack","Taiwan",5,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2477,"Kiki Noodle","Sichuan Spices Flavor Noodle","Pack","Taiwan",5,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2476,"Samyang Foods","Kimchi Stew Ramyun","Bowl","South Korea",4,"N",NA,NA,NA,"Asia",NA,"No","Ramyeon"
2475,"Maruchan","Seimen Red Spicy Dandan Men","Bowl","Japan",4.75,"N",NA,NA,NA,"Asia",NA,"Yes",NA
2474,"Ottogi","Ppushu Ppushu Noodle Snack Chilli Cheese Flavor","Pack","South Korea",4.25,"N",NA,NA,NA,"Asia",NA,"Yes","Noodle"
2473,"Tokyo Noodle","Mini Instant Noodle Mild Curry Flavor","Pack","Japan",2,"N",NA,NA,NA,"Asia",NA,"No","Mi"
2472,"GGE","Noodle Snack Wheat Cracks Seaweed Flavor","Pack","Taiwan",3.5,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2471,"Nissin","Cup Noodles Mini Seafood Flavour","Cup","Hong Kong",5,"N",NA,NA,NA,"Asia","Seafood","No","Mi"
2470,"Myojo","Udon Japanese Style Noodles With Soup Base Hot & Sour Flavor","Pack","United States",3.75,"N",NA,NA,NA,"North America",NA,"Yes","Noodle"
2469,"KOKA","Signature Curry Flavor Instant Noodles","Cup","Singapore",3.5,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2468,"Acecook","Dossari Yasai Chanpon","Cup","Japan",4.25,"N",NA,NA,NA,"Asia",NA,"No",NA
2467,"Paldo","Volcano Curry Kkokkomyun","Pack","South Korea",3.5,"N",NA,NA,NA,"Asia",NA,"No",NA
2466,"Sau Tao","Instant Noodle King Pepper Duck Flavour Soup","Pack","Hong Kong",4,"N",NA,NA,NA,"Asia","Duck","No","Noodle"
2465,"Nissin","Cup Noodles XO Sauce Seafood","Cup","China",3.75,"N",NA,NA,NA,"Asia","Seafood","No","Noodle"
2464,"Wang","Extreme Spicy Hot Chicken Flavor Udon","Bowl","South Korea",2,"N",NA,NA,NA,"Asia","Chicken","Yes","Udon"
2463,"Nissin","Gekikara Ramen Rasa Pedas","Pack","Indonesia",3.25,"N",NA,NA,NA,"Asia",NA,"Yes","Ramyeon"
2462,"TTL","Sesame Oil Chicken Noodle With Rice Wine","Bowl","Taiwan",5,"N",NA,NA,NA,"Asia","Chicken","No","Rice Noodle"
2461,"Fujiwara","Hokkaido Hakodate Shio Ramen","Pack","Japan",4.5,"N",NA,NA,NA,"Asia",NA,"No","Ramyeon"
2460,"Daifuku","Katsuo Bowl Udon","Bowl","United States",5,"N",NA,NA,NA,"North America",NA,"No","Udon"
2459,"Nissin","Cup Noodles MUG Shoyu & Seafood","Pack","Japan",3.5,"N",NA,NA,NA,"Asia","Seafood","No","Noodle"
2457,"KOKA","Instant Noodles Chicken Satay Flavour","Pack","Singapore",3.5,"N",NA,NA,NA,"Asia","Chicken","No","Noodle"
2456,"KOKA","Signature Spicy Singapore Fried Noodles Instant Noodles","Pack","Singapore",4.25,"N",NA,NA,NA,"Asia",NA,"Yes","Noodle"
2455,"KOKA","Creamy Soup With Crushed Noodles Sweet Corn Flavor","Cup","Singapore",5,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2454,"KOKA","Silk Beef Pho Flavor Instant Rice Fettuccine","Bowl","Singapore",3.25,"N",NA,NA,NA,"Asia","Beef","No","Rice Noodle"
2453,"KOKA","Delight Spicy Sesame Flavor Instant Non-Fried Noodles","Pack","Singapore",4.5,"N",NA,NA,NA,"Asia",NA,"Yes","Noodle"
2452,"KOKA","Signature Laksa Singapura Instant Noodles","Bowl","Singapore",5,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2451,"KOKA","Delight Spicy Black Pepper Flavor Instant Non-Fried Noodles","Pack","Singapore",5,"N",NA,NA,NA,"Asia",NA,"Yes","Noodle"
2450,"KOKA","Purple Wheat Noodles Chili & Lime Flavor","Pack","Singapore",4,"N",NA,NA,NA,"Asia",NA,"Yes","Noodle"
2449,"KOKA","Delight Tomato Flavor Instant Non-Fried Noodles","Pack","Singapore",5,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2448,"KOKA","Seafood Flavor Instant Noodles","Cup","Singapore",3.5,"N",NA,NA,NA,"Asia","Seafood","No","Noodle"
2447,"KOKA","Signature Stir-Fry Original Flavor Instant Noodles","Pack","Singapore",3,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2446,"KOKA","Creamy Soup Witrh Crushed Noodles Curry Flavor","Cup","Singapore",5,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2445,"KOKA","Delight Laksa Singapura Flavor Instant Non-Fried Noodles","Pack","Singapore",4.25,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2444,"KOKA","Silk Spicy Marinara Instant Rice Fettuccine","Bowl","Singapore",5,"N",NA,NA,NA,"Asia",NA,"Yes","Rice Noodle"
2443,"KOKA","Signature Chicken Flavor Instant Noodles","Cup","Singapore",3.75,"N",NA,NA,NA,"Asia","Chicken","No","Noodle"
2442,"Nissin","Cup Noodles Sopa Nissin Hot Sauce Con Camaron","Cup","Mexico",3.5,"N",NA,NA,NA,"North America",NA,"Yes","Noodle"
2441,"MyKuali","Penang Hokkien Prawn Flavor Noodle","Box","Japan",5,"N",NA,NA,NA,"Asia","Seafood","No","Noodle"
2440,"Master Kong","Roasted Pork Noodle","Pack","China",4.5,"N",NA,NA,NA,"Asia","Pork","No","Noodle"
2439,"Uni-President","Man Han Feast Super Hot Pot Beef Flavor Instant Noodles","Bowl","Taiwan",5,"N",NA,NA,NA,"Asia","Beef","Yes","Noodle"
2438,"World O' Noodle","Mi Goreng Original Flavour Fried Noodles","Pack","Indonesia",5,"N",NA,NA,NA,"Asia",NA,"No","Mi"
2437,"Nissin","Raoh Nojyuku Toro Tonkotsu Ramen","Bowl","Japan",4.5,"N",NA,NA,NA,"Asia",NA,"No","Ramyeon"
2436,"Kang Shi Fu","Artificial Dongpo's Braised Pork Flavour","Pack","Hong Kong",4.75,"N",NA,NA,NA,"Asia","Pork","No",NA
2435,"Mum Ngon","Lau Tom Chua Cay","Pack","Vietnam",3.5,"N",NA,NA,NA,"Asia",NA,"No",NA
2434,"Happy Cook","Old Beijing Fried Bean Sauce Noodle","Pack","Taiwan",4.25,"N",NA,NA,NA,"Asia",NA,"No","Noodle"
2433,"Nissin","Cup Noodles Indonesia Mie Goreng","Cup","Japan",3.75,"N",NA,NA,NA,"Asia",NA,"No","Mi"
2432,"Fashion Food","Yummy Spicy Rice Soup With Seafood","Bowl","Thailand",3.5,"N",NA,NA,NA,"Asia","Seafood","Yes","Rice Noodle"
2431,"Dream Kitchen","Udon Japanese Style Fresh Noodle","Bowl","United States",3.75,"N",NA,NA,NA,"North America",NA,"No","Noodle"
2430,"MyKuali","MeeKuali Bihun Sup Rempah Perisa Daging","Pack","Malaysia",5,"N",NA,NA,NA,"Asia",NA,"No","Rice Noodle"
2429,"New Touch","T's Restaurant Sura Tanmen","Cup","Japan",4,"N",NA,NA,NA,"Asia",NA,"No",NA
2428,"TTL","Sesame Oil Chicken With Rice Wine Noodle","Bowl","Taiwan",5,"N",NA,NA,NA,"Asia","Chicken","No","Rice Noodle"
2427,"Ajinatori","HALAL Chicken Shoyu Sauce Ramen","Pack","Japan",2.5,"N",NA,NA,NA,"Asia","Chicken","No","Ramyeon"
2426,"Dr. McDougall's","Vegan Pad Thai Noodle Soup","Cup","United States",0,"N",NA,NA,NA,"North America",NA,"No","Noodle"
2425,"Nissin","Seafood Flavour Rice Vermicelli","Cup","Hong Kong",5,"N",NA,NA,NA,"Asia","Seafood","No","Rice Noodle"
2424,"Samyang Foods","Cheese Type Buldak Bokkeummyun (Black Pkg)","Pack","South Korea",3.75,"N",NA,NA,NA,"Asia",NA,"No",NA
